mortgageInterestRate,propertyValueYearlyIncrease,delta
0.10,0.03,14618.192994838216987977296159
0.10,0.04,26093.958614838216987977296159
0.10,0.05,38019.690634838216987977296159
0.10,0.06,50408.493654838216987977296159
0.10,0.07,63273.724274838216987977296159
0.10,0.08,76628.993494838216987977296159
0.10,0.09,90488.16911483821698797729616
0.10,0.10,104865.37813483821698797729616
0.10,0.11,119775.00915483821698797729616
0.10,0.12,135231.71477483821698797729616
0.10,0.13,151250.41399483821698797729616
0.10,0.14,167846.29461483821698797729616
0.10,0.15,185034.81563483821698797729616
0.11,-0.15,-138096.42489034839520804334130
0.11,-0.14,-132752.08387034839520804334130
0.11,-0.13,-127153.30325034839520804334130
0.11,-0.12,-121291.10403034839520804334130
0.11,-0.11,-115156.29841034839520804334130
0.11,-0.10,-108739.48739034839520804334130
0.11,-0.09,-102031.05837034839520804334130
0.11,-0.08,-95021.18275034839520804334130
0.11,-0.07,-87699.81353034839520804334130
0.11,-0.06,-80056.68291034839520804334130
0.11,-0.05,-72081.299890348395208043341304
0.11,-0.04,-63762.947870348395208043341304
0.11,-0.03,-55090.682250348395208043341304
0.11,-0.02,-46053.328030348395208043341304
0.11,-0.01,-36639.477410348395208043341304
0.11,0.00,-26837.487390348395208043341304
0.11,0.01,-16635.477370348395208043341304
0.11,0.02,-6021.326750348395208043341304
0.11,0.03,5017.327469651604791956658696
0.11,0.04,16493.093089651604791956658696
0.11,0.05,28418.825109651604791956658696
0.11,0.06,40807.628129651604791956658696
0.11,0.07,53672.858749651604791956658696
0.11,0.08,67028.127969651604791956658696
0.11,0.09,80887.30358965160479195665870
0.11,0.10,95264.51260965160479195665870
0.11,0.11,110174.14362965160479195665870
0.11,0.12,125630.84924965160479195665870
0.11,0.13,141649.54846965160479195665870
0.11,0.14,158245.42908965160479195665870
0.11,0.15,175433.95010965160479195665870
0.12,-0.15,-147735.99565931104293091091377
0.12,-0.14,-142391.65463931104293091091377
0.12,-0.13,-136792.87401931104293091091377
0.12,-0.12,-130930.67479931104293091091377
0.12,-0.11,-124795.86917931104293091091377
0.12,-0.10,-118379.05815931104293091091377
0.12,-0.09,-111670.62913931104293091091377
0.12,-0.08,-104660.75351931104293091091377
0.12,-0.07,-97339.38429931104293091091377
0.12,-0.06,-89696.25367931104293091091377
0.12,-0.05,-81720.87065931104293091091377
0.12,-0.04,-73402.518639311042930910913770
0.12,-0.03,-64730.253019311042930910913770
0.12,-0.02,-55692.898799311042930910913770
0.12,-0.01,-46279.048179311042930910913770
0.12,0.00,-36477.058159311042930910913770
0.12,0.01,-26275.048139311042930910913770
0.12,0.02,-15660.897519311042930910913770
0.12,0.03,-4622.243299311042930910913770
0.12,0.04,6853.522320688957069089086230
0.12,0.05,18779.254340688957069089086230
0.12,0.06,31168.057360688957069089086230
0.12,0.07,44033.287980688957069089086230
0.12,0.08,57388.557200688957069089086230
0.12,0.09,71247.732820688957069089086230
0.12,0.10,85624.94184068895706908908623
0.12,0.11,100534.57286068895706908908623
0.12,0.12,115991.27848068895706908908623
0.12,0.13,132009.97770068895706908908623
0.12,0.14,148605.85832068895706908908623
0.12,0.15,165794.37934068895706908908623
0.13,-0.15,-157404.47816849330279842317464
0.13,-0.14,-152060.13714849330279842317464
0.13,-0.13,-146461.35652849330279842317464
0.13,-0.12,-140599.15730849330279842317464
0.13,-0.11,-134464.35168849330279842317464
0.13,-0.10,-128047.54066849330279842317464
0.13,-0.09,-121339.11164849330279842317464
0.13,-0.08,-114329.23602849330279842317464
0.13,-0.07,-107007.86680849330279842317464
0.13,-0.06,-99364.73618849330279842317464
0.13,-0.05,-91389.35316849330279842317464
0.13,-0.04,-83071.00114849330279842317464
0.13,-0.03,-74398.73552849330279842317464
0.13,-0.02,-65361.38130849330279842317464
0.13,-0.01,-55947.53068849330279842317464
0.13,0.00,-46145.54066849330279842317464
0.13,0.01,-35943.53064849330279842317464
0.13,0.02,-25329.38002849330279842317464
0.13,0.03,-14290.72580849330279842317464
0.13,0.04,-2814.96018849330279842317464
0.13,0.05,9110.77183150669720157682536
0.13,0.06,21499.57485150669720157682536
0.13,0.07,34364.80547150669720157682536
0.13,0.08,47720.07469150669720157682536
0.13,0.09,61579.25031150669720157682536
0.13,0.10,75956.45933150669720157682536
0.13,0.11,90866.09035150669720157682536
0.13,0.12,106322.79597150669720157682536
0.13,0.13,122341.49519150669720157682536
0.13,0.14,138937.37581150669720157682536
0.13,0.15,156125.89683150669720157682536
0.14,-0.15,-167093.67237232095037159079042
0.14,-0.14,-161749.33135232095037159079042
0.14,-0.13,-156150.55073232095037159079042
0.14,-0.12,-150288.35151232095037159079042
0.14,-0.11,-144153.54589232095037159079042
0.14,-0.10,-137736.73487232095037159079042
0.14,-0.09,-131028.30585232095037159079042
0.14,-0.08,-124018.43023232095037159079042
0.14,-0.07,-116697.06101232095037159079042
0.14,-0.06,-109053.93039232095037159079042
0.14,-0.05,-101078.54737232095037159079042
0.14,-0.04,-92760.19535232095037159079042
0.14,-0.03,-84087.92973232095037159079042
0.14,-0.02,-75050.57551232095037159079042
0.14,-0.01,-65636.72489232095037159079042
0.14,0.00,-55834.73487232095037159079042
0.14,0.01,-45632.72485232095037159079042
0.14,0.02,-35018.57423232095037159079042
0.14,0.03,-23979.92001232095037159079042
0.14,0.04,-12504.15439232095037159079042
0.14,0.05,-578.42237232095037159079042
0.14,0.06,11810.38064767904962840920958
0.14,0.07,24675.61126767904962840920958
0.14,0.08,38030.88048767904962840920958
0.14,0.09,51890.05610767904962840920958
0.14,0.10,66267.26512767904962840920958
0.14,0.11,81176.89614767904962840920958
0.14,0.12,96633.60176767904962840920958
0.14,0.13,112652.30098767904962840920958
0.14,0.14,129248.18160767904962840920958
0.14,0.15,146436.70262767904962840920958
0.15,-0.15,-176796.84336918039600470241891
0.15,-0.14,-171452.50234918039600470241891
0.15,-0.13,-165853.72172918039600470241891
0.15,-0.12,-159991.52250918039600470241891
0.15,-0.11,-153856.71688918039600470241891
0.15,-0.10,-147439.90586918039600470241891
0.15,-0.09,-140731.47684918039600470241891
0.15,-0.08,-133721.60122918039600470241891
0.15,-0.07,-126400.23200918039600470241891
0.15,-0.06,-118757.10138918039600470241891
0.15,-0.05,-110781.71836918039600470241891
0.15,-0.04,-102463.36634918039600470241891
0.15,-0.03,-93791.10072918039600470241891
0.15,-0.02,-84753.74650918039600470241891
0.15,-0.01,-75339.89588918039600470241891
0.15,0.00,-65537.90586918039600470241891
0.15,0.01,-55335.89584918039600470241891
0.15,0.02,-44721.74522918039600470241891
0.15,0.03,-33683.09100918039600470241891
0.15,0.04,-22207.32538918039600470241891
0.15,0.05,-10281.59336918039600470241891
0.15,0.06,2107.20965081960399529758109
0.15,0.07,14972.44027081960399529758109
0.15,0.08,28327.70949081960399529758109
0.15,0.09,42186.88511081960399529758109
0.15,0.10,56564.09413081960399529758109
0.15,0.11,71473.72515081960399529758109
0.15,0.12,86930.43077081960399529758109
0.15,0.13,102949.12999081960399529758109
0.15,0.14,119545.01061081960399529758109
0.15,0.15,136733.53163081960399529758109
0.16,-0.15,-186508.57069158055660734050230
0.16,-0.14,-181164.22967158055660734050230
0.16,-0.13,-175565.44905158055660734050230
0.16,-0.12,-169703.24983158055660734050230
0.16,-0.11,-163568.44421158055660734050230
0.16,-0.10,-157151.63319158055660734050230
0.16,-0.09,-150443.20417158055660734050230
0.16,-0.08,-143433.32855158055660734050230
0.16,-0.07,-136111.95933158055660734050230
0.16,-0.06,-128468.82871158055660734050230
0.16,-0.05,-120493.44569158055660734050230
0.16,-0.04,-112175.09367158055660734050230
0.16,-0.03,-103502.82805158055660734050230
0.16,-0.02,-94465.47383158055660734050230
0.16,-0.01,-85051.62321158055660734050230
0.16,0.00,-75249.63319158055660734050230
0.16,0.01,-65047.62317158055660734050230
0.16,0.02,-54433.47255158055660734050230
0.16,0.03,-43394.81833158055660734050230
0.16,0.04,-31919.05271158055660734050230
0.16,0.05,-19993.32069158055660734050230
0.16,0.06,-7604.51767158055660734050230
0.16,0.07,5260.71294841944339265949770
0.16,0.08,18615.98216841944339265949770
0.16,0.09,32475.15778841944339265949770
0.16,0.10,46852.36680841944339265949770
0.16,0.11,61761.99782841944339265949770
0.16,0.12,77218.70344841944339265949770
0.16,0.13,93237.40266841944339265949770
0.16,0.14,109833.28328841944339265949770
0.16,0.15,127021.80430841944339265949770
0.17,-0.15,-196224.58707511193907255527481
0.17,-0.14,-190880.24605511193907255527481
0.17,-0.13,-185281.46543511193907255527481
0.17,-0.12,-179419.26621511193907255527481
0.17,-0.11,-173284.46059511193907255527481
0.17,-0.10,-166867.64957511193907255527481
0.17,-0.09,-160159.22055511193907255527481
0.17,-0.08,-153149.34493511193907255527481
0.17,-0.07,-145827.97571511193907255527481
0.17,-0.06,-138184.84509511193907255527481
0.17,-0.05,-130209.46207511193907255527481
0.17,-0.04,-121891.11005511193907255527481
0.17,-0.03,-113218.84443511193907255527481
0.17,-0.02,-104181.49021511193907255527481
0.17,-0.01,-94767.63959511193907255527481
0.17,0.00,-84965.64957511193907255527481
0.17,0.01,-74763.63955511193907255527481
0.17,0.02,-64149.48893511193907255527481
0.17,0.03,-53110.83471511193907255527481
0.17,0.04,-41635.06909511193907255527481
0.17,0.05,-29709.33707511193907255527481
0.17,0.06,-17320.53405511193907255527481
0.17,0.07,-4455.30343511193907255527481
0.17,0.08,8899.96578488806092744472519
0.17,0.09,22759.14140488806092744472519
0.17,0.10,37136.35042488806092744472519
0.17,0.11,52045.98144488806092744472519
0.17,0.12,67502.68706488806092744472519
0.17,0.13,83521.38628488806092744472519
0.17,0.14,100117.26690488806092744472519
0.17,0.15,117305.78792488806092744472519
0.18,-0.15,-205941.61627467684875427133915
0.18,-0.14,-200597.27525467684875427133915
0.18,-0.13,-194998.49463467684875427133915
0.18,-0.12,-189136.29541467684875427133915
0.18,-0.11,-183001.48979467684875427133915
0.18,-0.10,-176584.67877467684875427133915
0.18,-0.09,-169876.24975467684875427133915
0.18,-0.08,-162866.37413467684875427133915
0.18,-0.07,-155545.00491467684875427133915
0.18,-0.06,-147901.87429467684875427133915
0.18,-0.05,-139926.49127467684875427133915
0.18,-0.04,-131608.13925467684875427133915
0.18,-0.03,-122935.87363467684875427133915
0.18,-0.02,-113898.51941467684875427133915
0.18,-0.01,-104484.66879467684875427133915
0.18,0.00,-94682.67877467684875427133915
0.18,0.01,-84480.66875467684875427133915
0.18,0.02,-73866.51813467684875427133915
0.18,0.03,-62827.86391467684875427133915
0.18,0.04,-51352.09829467684875427133915
0.18,0.05,-39426.36627467684875427133915
0.18,0.06,-27037.56325467684875427133915
0.18,0.07,-14172.33263467684875427133915
0.18,0.08,-817.06341467684875427133915
0.18,0.09,13042.11220532315124572866085
0.18,0.10,27419.32122532315124572866085
0.18,0.11,42328.95224532315124572866085
0.18,0.12,57785.65786532315124572866085
0.18,0.13,73804.35708532315124572866085
0.18,0.14,90400.23770532315124572866085
