mortgageInterestRate,savingsInterestRate,delta
0.18,-0.01,-68091.78560178633846816137713
0.18,0.00,-73028.96923724210737099202715
0.18,0.01,-78163.67240298702342051375654
0.18,0.02,-83504.39209251331514701071501
0.18,0.03,-89060.00077011881821818295491
0.18,0.04,-94839.76308759213039404895566
0.18,0.05,-100853.35334342293295053351869
0.18,0.06,-107110.87371725601210069686587
0.18,0.07,-113622.87331373259227744507080
0.18,0.08,-120400.36805134887583421120015
0.18,0.09,-127454.86143351175809408750064
0.18,0.10,-134798.36624058824756649055543
0.18,0.11,-142443.42718343097528282477346
0.18,0.12,-150403.14456062024776559431981
0.18,0.13,-158691.19896349642952763403803
0.18,0.14,-167321.87707496820372377330801
0.18,0.15,-176310.09861007575543678577364
0.18,0.16,-185671.44444836658946510649567
0.18,0.17,-195422.18601030911393357612409
0.18,0.18,-205579.31593222902103148761003
0.18,0.19,-216160.58009660975907339205525
0.18,0.20,-227184.51107705505841164938836
0.19,-0.1,-40645.36428632227064360260878
0.19,-0.09,-44334.18839511980652640107570
0.19,-0.08,-48164.90963043820021361162309
0.19,-0.07,-52143.51787334448596695884880
0.19,-0.06,-56276.26527628894118688786460
0.19,-0.05,-60569.67789534624556894355198
0.19,-0.04,-65030.56783881729795216414056
0.19,-0.03,-69666.04595497711720147987605
0.19,-0.02,-74483.53508274949163537950439
0.19,-0.01,-79490.78389012718595080444752
0.19,0.00,-84695.88132623938731157321576
0.19,0.01,-90107.27171409757134851909714
0.19,0.02,-95733.77051222907157589360211
0.19,0.03,-101584.58077463640192648401618
0.19,0.04,-107669.31033980195735206589381
0.19,0.05,-113997.98978079433668209805499
0.19,0.06,-120581.09114992652314336532695
0.19,0.07,-127429.54755286994588466155922
0.19,0.08,-134554.77358864455605188688476
0.19,0.09,-141968.68669348611382059507523
0.19,0.10,-149683.72942824063786432675585
0.19,0.11,-157712.89275065526916371666674
0.19,0.12,-166069.74031572761821102989077
0.19,0.13,-174768.43384914509293733533612
0.19,0.14,-183823.75964079496651931873804
0.19,0.15,-193251.15620735839528039890797
0.19,0.16,-203066.74317512073150235098856
0.19,0.17,-213287.35143633993269498559379
0.19,0.18,-223930.55463481843643678417262
0.19,0.19,-235014.70203872549320214230992
0.19,0.20,-246558.95286122073605615037202
0.20,-0.1,-49951.77870826704993983555426
0.20,-0.09,-53843.40788841801187919739624
0.20,-0.08,-57883.35893520955939453448758
0.20,-0.07,-62077.85107150033457540484385
0.20,-0.06,-66433.37444934305399498493987
0.20,-0.05,-70956.70211821905786298534669
0.20,-0.04,-75654.90252283679052263502988
0.20,-0.03,-80535.35255380025282290155085
0.20,-0.02,-85605.75117546918155069570068
0.20,-0.01,-90874.13365639213205025317435
0.20,0.00,-96348.88642879862034474279331
0.20,0.01,-102038.76260478895073994994484
0.20,0.02,-107952.89817806232470412830955
0.20,0.03,-114100.82894127739118856965713
0.20,0.04,-120492.50815044673904674688565
0.20,0.05,-127138.32496913022111567773523
0.20,0.06,-134049.12372661380356014831174
0.20,0.07,-141236.22402574331825104833275
0.20,0.08,-148711.44173762862754847028343
0.20,0.09,-156487.11092204596364582356244
0.20,0.10,-164576.10671404736315892846801
0.20,0.11,-172991.86921903908177786533727
0.20,0.12,-181748.42846041866340095825202
0.20,0.13,-190860.43042576609797587161142
0.20,0.14,-200343.16425957150696434695778
0.20,0.15,-210212.59065255345482562810648
0.20,0.16,-220485.37147978184978246784837
0.20,0.17,-231178.90074207116439987843158
0.20,0.18,-242311.33686745722550939653568
0.20,0.19,-253901.63643201810158487281176
0.20,0.20,-265969.58936185082655755062437
