initialPropertyValue,initialMonthlyRentPrice,delta
370000,900,25561.96242618214303857762823
370000,1000,32860.35426341819714795604587
370000,1100,40158.74610065425125733446357
370000,1200,47457.13793789030536671288122
370000,1300,54755.52977512635947609129889
370000,1400,62053.921612362413585469716564
370000,1500,69352.313449598467694848134223
370000,1600,76650.705286834521804226551891
370000,1700,83949.09712407057591360496956
370000,1800,91247.48896130663002298338722
370000,1900,98545.88079854268413236180489
370000,2000,105844.27263577873824174022256
370000,2100,113142.66447301479235111864023
370000,2200,120441.05631025084646049705789
370000,2300,127739.44814748690056987547556
370000,2400,135037.83998472295467925389322
370000,2500,142336.23182195900878863231090
370000,2600,149634.62365919506289801072856
370000,2700,156933.01549643111700738914622
370000,2800,164231.40733366717111676756389
370000,2900,171529.79917090322522614598156
370000,3000,178828.19100813927933552439923
380000,500,-4772.65532649715545111802298
380000,600,2525.73651073889865826039467
380000,700,9824.12834797495276763881232
380000,800,17122.52018521100687701723002
380000,900,24420.91202244706098639564766
380000,1000,31719.30385968311509577406533
380000,1100,39017.69569691916920515248302
380000,1200,46316.08753415522331453090069
380000,1300,53614.47937139127742390931833
380000,1400,60912.871208627331533287736007
380000,1500,68211.263045863385642666153675
380000,1600,75509.654883099439752044571347
380000,1700,82808.04672033549386142298901
380000,1800,90106.43855757154797080140668
380000,1900,97404.83039480760208017982435
380000,2000,104703.22223204365618955824201
380000,2100,112001.61406927971029893665968
380000,2200,119300.00590651576440831507735
380000,2300,126598.39774375181851769349501
380000,2400,133896.78958098787262707191268
380000,2500,141195.18141822392673645033035
380000,2600,148493.57325545998084582874802
380000,2700,155791.96509269603495520716568
380000,2800,163090.35692993208906458558335
380000,2900,170388.74876716814317396400102
380000,3000,177687.14060440419728334241868
390000,500,-5913.70573023223750330000351
390000,600,1384.68610700381660607841417
390000,700,8683.07794423987071545683184
390000,800,15981.46978147592482483524949
390000,900,23279.86161871197893421366723
390000,1000,30578.25345594803304359208483
390000,1100,37876.64529318408715297050251
390000,1200,45175.03713042014126234892018
390000,1300,52473.42896765619537172733785
390000,1400,59771.82080489224948110575552
390000,1500,67070.212642128303590484173183
390000,1600,74368.604479364357699862590848
390000,1700,81666.99631660041180924100851
390000,1800,88965.38815383646591861942618
390000,1900,96263.77999107252002799784385
390000,2000,103562.17182830857413737626151
390000,2100,110860.56366554462824675467918
390000,2200,118158.95550278068235613309685
390000,2300,125457.34734001673646551151452
390000,2400,132755.73917725279057488993218
390000,2500,140054.13101448884468426834985
390000,2600,147352.52285172489879364676752
390000,2700,154650.91468896095290302518518
390000,2800,161949.30652619700701240360284
390000,2900,169247.69836343306112178202051
390000,3000,176546.09020066911523116043818
