initialMonthlyRentPrice,rentPriceYearlyIncrease,delta
1800,-0.09,71740.676149540814116558523842
1800,-0.08,73674.027801282852323795479071
1800,-0.07,75647.130230013809386888838558
1800,-0.06,77660.609225938822994031674552
1800,-0.05,79715.09585936699323815403854
1800,-0.04,81811.22648071138261692296124
1800,-0.03,83949.64272048901603274245258
1800,-0.02,86130.99148932088079275350172
1800,-0.01,88355.92497793192660883407708
1800,0.00,90625.10065715106559759912625
1800,0.01,92939.18127791117228040057609
1800,0.02,95298.83487124908358332733269
1800,0.03,97704.73474830559883720528136
1800,0.04,100157.55950032547977759728660
1800,0.05,102657.99299865745054480319220
1800,0.06,105206.72439475419768385982114
1800,0.07,107804.44812017237014454097563
1800,0.08,110451.86388657257928135743712
1800,0.09,113149.67668571939885355696628
1800,0.10,115898.59678948136502512430302
1800,0.11,118699.33974983097636478116645
1800,0.12,121552.62639884469384598625494
1800,0.13,124459.18284870294084693524606
1800,0.14,127419.74049169010315056079664
1800,0.15,130435.03600019452894453254270
1900,-0.1,75321.983366701966309818002371
1900,-0.09,77321.439272937055091034459930
1900,-0.08,79362.19934977587319867346823
1900,-0.07,81444.91858010299454304979213
1900,-0.06,83570.25752024606446170056346
1900,-0.05,85738.88229997579971938528100
1900,-0.04,87951.46462250598850808581052
1900,-0.03,90208.68176449349044700638470
1900,-0.02,92511.21657603823658257360325
1900,-0.01,94859.75748068322938843643279
1900,0.00,97254.99847541454276546620692
1900,0.01,99697.63913066132204175662620
1900,0.02,102188.38459029578397262375817
1900,0.03,104727.94557163321674060603730
1900,0.04,107317.03836543197995546426506
1900,0.05,109956.38483589350465418160986
1900,0.06,112646.71242066229330096360708
1900,0.07,115388.75413082591978723815904
1900,0.08,118183.24855091502943165553506
1900,0.09,121030.93983890333898008837140
1900,0.10,123932.57772620763660563167128
1900,0.11,126888.91751768778190860280490
1900,0.12,129900.72009164670591654150942
1900,0.13,132968.75189983041108420988894
1900,0.14,136093.78496742797129359241455
1900,0.15,139276.59689307153185389592427
2000,-0.1,80797.51196871741313791412490
2000,-0.09,82902.20239633329606551039602
2000,-0.08,85050.37089826889407355145739
2000,-0.07,87242.70693019217969921074570
2000,-0.06,89479.90581455330592936945237
2000,-0.05,91762.66874058460620061652347
2000,-0.04,94091.70276430059439924865980
2000,-0.03,96467.72080849796486127031684
2000,-0.02,98891.44166275559237239370478
