mortgageInterestRate,propertyValueYearlyIncrease,initialMonthlyRentPrice,delta
0.01,-0.14,500,-91297.60789039837289328090255
0.01,-0.14,600,-84097.79560388094204391501237
0.01,-0.14,700,-76897.983317363511194549122178
0.01,-0.14,800,-69698.171030846080345183231997
0.01,-0.14,900,-62498.358744328649495817341811
0.01,-0.14,1000,-55298.546457811218646451451623
0.01,-0.14,1100,-48098.734171293787797085561445
0.01,-0.14,1200,-40898.921884776356947719671255
0.01,-0.14,1300,-33699.109598258926098353781074
0.01,-0.14,1400,-26499.297311741495248987890889
0.01,-0.14,1500,-19299.485025224064399622000699
0.01,-0.14,1600,-12099.672738706633550256110514
0.01,-0.14,1700,-4899.860452189202700890220334
0.01,-0.14,1800,2299.951834328228148475669852
0.01,-0.14,1900,9499.764120845658997841560041
0.01,-0.14,2000,16699.576407363089847207450222
0.01,-0.13,500,-85698.82727039837289328090255
0.01,-0.13,600,-78499.014983880942043915012372
0.01,-0.13,700,-71299.202697363511194549122178
0.01,-0.13,800,-64099.390410846080345183231997
0.01,-0.13,900,-56899.578124328649495817341811
0.01,-0.13,1000,-49699.765837811218646451451623
0.01,-0.13,1100,-42499.953551293787797085561445
0.01,-0.13,1200,-35300.141264776356947719671255
0.01,-0.13,1300,-28100.328978258926098353781074
0.01,-0.13,1400,-20900.516691741495248987890889
0.01,-0.13,1500,-13700.704405224064399622000699
0.01,-0.13,1600,-6500.892118706633550256110514
0.01,-0.13,1700,698.920167810797299109779666
0.01,-0.13,1800,7898.732454328228148475669852
0.01,-0.13,1900,15098.544740845658997841560041
0.01,-0.13,2000,22298.357027363089847207450222
0.01,-0.12,500,-79836.62805039837289328090255
0.01,-0.12,600,-72636.815763880942043915012372
0.01,-0.12,700,-65437.003477363511194549122178
0.01,-0.12,800,-58237.191190846080345183231997
0.01,-0.12,900,-51037.378904328649495817341811
0.01,-0.12,1000,-43837.566617811218646451451623
0.01,-0.12,1100,-36637.754331293787797085561445
0.01,-0.12,1200,-29437.942044776356947719671255
0.01,-0.12,1300,-22238.129758258926098353781074
0.01,-0.12,1400,-15038.317471741495248987890889
0.01,-0.12,1500,-7838.505185224064399622000699
0.01,-0.12,1600,-638.692898706633550256110514
0.01,-0.12,1700,6561.119387810797299109779666
0.01,-0.12,1800,13760.931674328228148475669852
0.01,-0.12,1900,20960.743960845658997841560041
0.01,-0.12,2000,28160.556247363089847207450222
0.01,-0.11,500,-73701.822430398372893280902554
0.01,-0.11,600,-66502.010143880942043915012372
0.01,-0.11,700,-59302.197857363511194549122178
0.01,-0.11,800,-52102.385570846080345183231997
0.01,-0.11,900,-44902.573284328649495817341811
0.01,-0.11,1000,-37702.760997811218646451451623
0.01,-0.11,1100,-30502.948711293787797085561445
0.01,-0.11,1200,-23303.136424776356947719671255
0.01,-0.11,1300,-16103.324138258926098353781074
0.01,-0.11,1400,-8903.511851741495248987890889
0.01,-0.11,1500,-1703.699565224064399622000699
0.01,-0.11,1600,5496.112721293366449743889486
0.01,-0.11,1700,12695.925007810797299109779666
0.01,-0.11,1800,19895.737294328228148475669852
0.01,-0.11,1900,27095.549580845658997841560041
0.01,-0.11,2000,34295.361867363089847207450222
0.01,-0.10,500,-67285.011410398372893280902554
0.01,-0.10,600,-60085.199123880942043915012372
0.01,-0.10,700,-52885.386837363511194549122178
0.01,-0.10,800,-45685.574550846080345183231997
0.01,-0.10,900,-38485.762264328649495817341811
0.01,-0.10,1000,-31285.949977811218646451451623
0.01,-0.10,1100,-24086.137691293787797085561445
0.01,-0.10,1200,-16886.325404776356947719671255
0.01,-0.10,1300,-9686.513118258926098353781074
0.01,-0.10,1400,-2486.700831741495248987890889
0.01,-0.10,1500,4713.111454775935600377999301
0.01,-0.10,1600,11912.923741293366449743889486
0.01,-0.10,1700,19112.736027810797299109779666
0.01,-0.10,1800,26312.548314328228148475669852
0.01,-0.10,1900,33512.360600845658997841560041
0.01,-0.10,2000,40712.172887363089847207450222
0.01,-0.09,500,-60576.582390398372893280902554
0.01,-0.09,600,-53376.770103880942043915012372
0.01,-0.09,700,-46176.957817363511194549122178
0.01,-0.09,800,-38977.145530846080345183231997
0.01,-0.09,900,-31777.333244328649495817341811
0.01,-0.09,1000,-24577.520957811218646451451623
0.01,-0.09,1100,-17377.708671293787797085561445
0.01,-0.09,1200,-10177.896384776356947719671255
0.01,-0.09,1300,-2978.084098258926098353781074
0.01,-0.09,1400,4221.728188258504751012109111
0.01,-0.09,1500,11421.540474775935600377999301
0.01,-0.09,1600,18621.352761293366449743889486
0.01,-0.09,1700,25821.165047810797299109779666
0.01,-0.09,1800,33020.977334328228148475669852
0.01,-0.09,1900,40220.789620845658997841560041
0.01,-0.09,2000,47420.601907363089847207450222
0.01,-0.08,500,-53566.706770398372893280902554
0.01,-0.08,600,-46366.894483880942043915012372
0.01,-0.08,700,-39167.082197363511194549122178
0.01,-0.08,800,-31967.269910846080345183231997
0.01,-0.08,900,-24767.457624328649495817341811
0.01,-0.08,1000,-17567.645337811218646451451623
0.01,-0.08,1100,-10367.833051293787797085561445
0.01,-0.08,1200,-3168.0207647763569477196712547
0.01,-0.08,1300,4031.791521741073901646218926
0.01,-0.08,1400,11231.603808258504751012109111
0.01,-0.08,1500,18431.416094775935600377999301
0.01,-0.08,1600,25631.228381293366449743889486
0.01,-0.08,1700,32831.040667810797299109779666
0.01,-0.08,1800,40030.852954328228148475669852
0.01,-0.08,1900,47230.665240845658997841560041
0.01,-0.08,2000,54430.477527363089847207450222
0.01,-0.07,500,-46245.337550398372893280902554
0.01,-0.07,600,-39045.525263880942043915012372
0.01,-0.07,700,-31845.712977363511194549122178
0.01,-0.07,800,-24645.900690846080345183231997
0.01,-0.07,900,-17446.088404328649495817341811
