mortgageInterestRate,propertyValueYearlyIncrease,delta
0.10,-0.13,-170880.23344441091730740561527
0.10,-0.12,-162966.26449741091730740561527
0.10,-0.11,-154684.27691041091730740561527
0.10,-0.10,-146021.58203341091730740561527
0.10,-0.09,-136965.20285641091730740561527
0.10,-0.08,-127501.87076941091730740561527
0.10,-0.07,-117618.02232241091730740561527
0.10,-0.06,-107299.79598541091730740561527
0.10,-0.05,-96533.02890841091730740561527
0.10,-0.04,-85303.25368141091730740561527
0.10,-0.03,-73595.69509441091730740561527
0.10,-0.02,-61395.26689741091730740561527
0.10,-0.01,-48686.56856041091730740561527
0.10,0.00,-35453.88203341091730740561527
0.10,0.01,-21681.16850641091730740561527
0.10,0.02,-7352.06516941091730740561527
0.10,0.03,7550.11802758908269259438473
0.10,0.04,23042.40161458908269259438473
0.10,0.05,39142.13984158908269259438473
0.10,0.06,55867.02391858908269259438473
0.10,0.07,73235.08525558908269259438473
0.10,0.08,91264.69870258908269259438473
0.10,0.09,109974.58578958908269259438473
0.10,0.10,129383.81796658908269259438473
0.10,0.11,149511.81984358908269259438473
0.10,0.12,170378.37243058908269259438473
0.10,0.13,192003.61637758908269259438473
0.10,0.14,214408.05521458908269259438473
0.10,0.15,237612.55859158908269259438473
0.11,-0.15,-198362.46481303548211370424797
0.11,-0.14,-191147.60443603548211370424797
0.11,-0.13,-183589.25059903548211370424797
0.11,-0.12,-175675.28165203548211370424797
0.11,-0.11,-167393.29406503548211370424797
0.11,-0.10,-158730.59918803548211370424797
0.11,-0.09,-149674.22001103548211370424797
0.11,-0.08,-140210.88792403548211370424797
0.11,-0.07,-130327.03947703548211370424797
0.11,-0.06,-120008.81314003548211370424797
0.11,-0.05,-109242.04606303548211370424797
0.11,-0.04,-98012.27083603548211370424797
0.11,-0.03,-86304.71224903548211370424797
0.11,-0.02,-74104.28405203548211370424797
0.11,-0.01,-61395.58571503548211370424797
0.11,0.00,-48162.89918803548211370424797
0.11,0.01,-34390.18566103548211370424797
0.11,0.02,-20061.08232403548211370424797
0.11,0.03,-5158.89912703548211370424797
0.11,0.04,10333.38445996451788629575203
0.11,0.05,26433.12268696451788629575203
0.11,0.06,43158.00676396451788629575203
0.11,0.07,60526.06810096451788629575203
0.11,0.08,78555.68154796451788629575203
0.11,0.09,97265.56863496451788629575203
0.11,0.10,116674.80081196451788629575203
0.11,0.11,136802.80268896451788629575203
0.11,0.12,157669.35527596451788629575203
0.11,0.13,179294.59922296451788629575203
0.11,0.14,201699.03805996451788629575203
0.11,0.15,224903.54143696451788629575203
0.12,-0.15,-211117.17807761990768357968362
0.12,-0.14,-203902.31770061990768357968362
0.12,-0.13,-196343.96386361990768357968362
0.12,-0.12,-188429.99491661990768357968362
0.12,-0.11,-180148.00732961990768357968362
0.12,-0.10,-171485.31245261990768357968362
0.12,-0.09,-162428.93327561990768357968362
0.12,-0.08,-152965.60118861990768357968362
0.12,-0.07,-143081.75274161990768357968362
0.12,-0.06,-132763.52640461990768357968362
0.12,-0.05,-121996.75932761990768357968362
0.12,-0.04,-110766.98410061990768357968362
0.12,-0.03,-99059.42551361990768357968362
0.12,-0.02,-86858.99731661990768357968362
0.12,-0.01,-74150.29897961990768357968362
0.12,0.00,-60917.61245261990768357968362
0.12,0.01,-47144.89892561990768357968362
0.12,0.02,-32815.79558861990768357968362
0.12,0.03,-17913.61239161990768357968362
0.12,0.04,-2421.32880461990768357968362
0.12,0.05,13678.40942238009231642031638
0.12,0.06,30403.29349938009231642031638
0.12,0.07,47771.35483638009231642031638
0.12,0.08,65800.96828338009231642031638
0.12,0.09,84510.85537038009231642031638
0.12,0.10,103920.08754738009231642031638
0.12,0.11,124048.08942438009231642031638
0.12,0.12,144914.64201138009231642031638
0.12,0.13,166539.88595838009231642031638
0.12,0.14,188944.32479538009231642031638
0.12,0.15,212148.82817238009231642031638
0.13,-0.15,-223905.11733760597010830687578
0.13,-0.14,-216690.25696060597010830687578
0.13,-0.13,-209131.90312360597010830687578
0.13,-0.12,-201217.93417660597010830687578
0.13,-0.11,-192935.94658960597010830687578
0.13,-0.10,-184273.25171260597010830687578
0.13,-0.09,-175216.87253560597010830687578
0.13,-0.08,-165753.54044860597010830687578
0.13,-0.07,-155869.69200160597010830687578
0.13,-0.06,-145551.46566460597010830687578
0.13,-0.05,-134784.69858760597010830687578
0.13,-0.04,-123554.92336060597010830687578
0.13,-0.03,-111847.36477360597010830687578
0.13,-0.02,-99646.93657660597010830687578
0.13,-0.01,-86938.23823960597010830687578
